x,y,Angular_velocity,Action
0.89820576,0.4395753,0.94187677,-0.5773730221653697
0.8706012,0.49198943,1.1849524,-2.4912796020507812
0.83806443,0.54557127,1.2539444,-2.4735472202301025
0.7989634,0.60137963,1.3631228,-1.2845672833619002
0.74763644,0.6641082,1.6214725,-0.5033017805590663
0.67597944,0.7369205,2.0440583,-2.0012900829315186
0.58708686,0.80952394,2.2967486,-1.5921869277954102
0.47432962,0.8803473,2.6650636,1.7082714793998592
0.3099345,0.9507579,3.581565,-1.5706349611282349
0.11193715,0.9937153,4.059038,0.36604410592789627
-0.13041677,0.99145925,4.859231,-1.1401762962341309
-0.3916087,0.92013186,5.431799,-0.7764073610305786
-0.6462431,0.7631316,6.005437,-0.619218111038208
-0.855697,0.5174772,6.484903,-0.5441197752952576
-0.9791971,0.20291156,6.791393,-1.6855196740647465
-0.991535,-0.1298394,6.6907487,-1.407136540047591
-0.9007418,-0.43435487,6.3822985,1.8337397575378418
-0.72075766,-0.6931871,6.3315935,-1.7992450561611584
-0.5036373,-0.8639152,5.541816,2.075277805328369
-0.26490936,-0.96427333,5.19388,1.7767242193222046
-0.031245658,-0.9995117,4.7371836,-0.8423114745435902
0.16110423,-0.9869374,3.861203,2.1133580207824707
0.32674682,-0.94511193,3.421,0.7264051211720051
0.45637396,-0.8897881,2.8211267,-1.3957197721972752
0.54058903,-0.8412868,1.9444277,-0.5033359642147515
0.5915946,-0.8062356,1.2379622,1.7183497976619289
0.62691504,-0.77908766,0.891038,-0.7035936504985232
0.63472015,-0.7727421,0.20118323,-0.7315370129482965
0.6156741,-0.7880009,-0.4881039,0.9605938792228699
0.5781751,-0.81591266,-0.9350155,1.1466493606567383
0.5207615,-0.8537022,-1.3749526,1.249732255935669
0.44067836,-0.8976651,-1.8277694,1.2574071884155273
0.33417886,-0.94250965,-2.3124073,1.214361548423767
0.1975687,-0.98028904,-2.837135,-0.9400734037671308
0.013208579,-0.99991274,-3.713363,1.726338708445621
-0.19573645,-0.98065656,-4.2043467,1.6155635922817213
-0.4185822,-0.9081789,-4.6975045,1.5578339322522092
-0.63586736,-0.7717984,-5.1449637,0.058162167645379625
-0.82763803,-0.56126225,-5.7150884,1.3299628503128025
-0.95560706,-0.29464415,-5.9365406,0.392561137676239
-0.9999829,0.005848822,-6.0986395,-1.5553428022875728
-0.94853264,0.3166793,-6.327554,1.2344019300376008
-0.8153454,0.57897484,-5.9048843,-1.9660229566378429
-0.61709666,0.78688735,-5.765557,-0.07523386180400848
-0.3946748,0.91882086,-5.1866765,1.271127284749129
-0.18922156,0.9819344,-4.3068914,-0.4183329939842224
-0.0087096775,0.9999621,-3.6331906,-0.7437608242034912
0.14056234,0.99007183,-2.9947832,-1.1248061656951904
0.2590871,0.965854,-2.4209502,1.610843204990108
0.32860252,0.9444683,-1.4549333,1.172531175560915
0.3554156,0.93470836,-0.57070243,-0.4590565757632685
0.3525411,0.9357963,0.061470374,1.3356564131773299
0.30705962,0.95169026,0.9636661,-0.961570574813098
0.23327276,0.97241133,1.5331982,-1.1490715477573423
0.13056085,0.9914403,2.090146,0.161200288394594
-0.011960385,0.9999285,2.8579063,0.23601261001592988
-0.19290647,0.98121715,3.6432545,1.6096255150201775
-0.41246104,0.9109752,4.620611,-0.3398400545120239
-0.6348368,0.77264625,5.2528667,-1.4840644556516436
-0.82391465,0.5667139,5.6097417,-0.04062454402446747
-0.95501745,0.29654968,6.028683,0.5751181621628922
-0.9998753,-0.015789721,6.3373632,1.337805986404419
-0.94205225,-0.33546612,6.526192,-0.2414656584964412
-0.7936454,-0.6083807,6.2383723,1.8990448713302612
-0.5756759,-0.817678,6.0669436,0.9181736115100927
-0.3276923,-0.9447845,5.591411,0.5572455095998397
-0.085435204,-0.99634373,4.9664097,1.0247926712036133
0.13271138,-0.99115473,4.372871,0.9017888307571411
0.31584084,-0.9488122,3.7647731,-1.1777983056606351
0.44857246,-0.8937465,2.8764944,1.6564269555289113
0.5546147,-0.8321073,2.4546485,2.3683481216430664
0.6399462,-0.7684197,2.130568,2.218885660171509
0.708338,-0.70587337,1.8542533,1.9661237001419067
0.7631213,-0.64625525,1.6197667,1.6911473274230957
0.8061205,-0.59175134,1.3887475,-0.11351911694259931
0.83269775,-0.5537278,0.92790604,-0.1312179058967189
0.84609085,-0.53303874,0.4929275,3.040684700012207
0.85640484,-0.51630485,0.39314845,-0.14618221814415344
0.85599136,-0.5169901,-0.016007531,-0.8394388243254576
0.8420012,-0.5394757,-0.52966595,-0.6475626994828008
0.81307316,-0.58216155,-1.0314071,1.1506719368501583
0.7736872,-0.6335678,-1.2954274,0.9696689248085022
0.71970874,-0.69427615,-1.625153,0.9229775853735203
0.64651847,-0.7628983,-2.0074134,-0.26799087542129163
0.54133385,-0.84080774,-2.6197858,1.3106271028518677
0.4071512,-0.9133608,-3.0537975,-1.664885171864952
0.2181372,-0.9759181,-3.988551,0.6786850690841675
-0.011028816,-0.9999392,-4.6186867,0.5290011167526245
-0.27202195,-0.96229106,-5.289291,0.42940094661124784
-0.542007,-0.84037393,-5.946599,0.06808139383792877
-0.7840455,-0.62070334,-6.5666676,-1.0524252699403434
-0.9522919,-0.30518863,-7.1900587,-1.7012276425493393
-0.9972949,0.073503874,-7.6741343,1.800230251716568
-0.90431726,0.42686102,-7.348972,0.7882289339247488
-0.706293,0.70791966,-6.9105916,-0.049018070101737976
-0.44833136,0.89386743,-6.387005,-0.025654837489128113
-0.17792271,0.9840445,-5.7204523,0.0408368855714798
0.06988259,0.9975552,-4.9762936,0.08821184933185577
0.27701327,0.9608661,-4.2148952,-0.12163583344465811
0.44063768,0.89768505,-3.512491,-0.01718939185062096
0.5633205,0.82623845,-2.8418057,1.2632718715109243
0.6442414,0.76482224,-2.0326362,-0.9712731838226318
0.70346886,0.7107261,-1.6047103,-1.0020053386688232
0.74555343,0.6664459,-1.2219666,-1.6356121175448908
0.77690715,0.6296152,-0.967474,-1.346166968345642
0.7983787,0.6021556,-0.69718766,-1.3690625429153442
0.8117512,0.58400345,-0.4509303,1.6556331726851363
0.80482084,0.5935178,0.23541728,-1.9145453292948877
0.79299223,0.60923177,0.39337385,-1.940999150276184
0.775652,0.6311608,0.5591478,-2.03702449798584
